City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Georgetown,MY,5.4112,100.3354,77.9,97,40,2.3,moderate rain
210,Aguadilla,PR,18.4275,-67.1541,87.93,74,100,11.5,moderate rain
211,Imeni Zhelyabova,RU,58.9544,36.5956,42.89,94,95,3.4,overcast clouds
212,Ayia Galini,GR,35.1,24.6833,68.76,45,13,11.01,few clouds
213,Talakan,RU,50.3167,130.3667,28.4,71,55,6.62,broken clouds
214,Olinda,BR,-8.0089,-34.8553,80.33,74,40,6.91,scattered clouds
215,Lorengau,PG,-2.0226,147.2712,82.29,74,41,11.52,scattered clouds
216,Gurupa,BR,-1.405,-51.64,88.5,49,91,4.09,overcast clouds
217,Dunedin,NZ,-45.8742,170.5036,36.86,82,100,19.1,overcast clouds
218,Ugoofaaru,MV,5.6667,73.0,81.5,78,100,18.72,overcast clouds
219,Faya,SA,18.3851,42.4509,72.12,30,44,7.81,scattered clouds
220,Victoria,HK,22.2855,114.1577,83.32,79,41,11.01,scattered clouds
221,Udachnyy,RU,66.4167,112.4,26.46,85,99,7.81,overcast clouds
222,Murmashi,RU,68.8154,32.8115,41.41,100,75,4.47,broken clouds
223,Morondava,MG,-20.2833,44.2833,75.36,83,0,5.17,clear sky
224,Gornopravdinsk,RU,60.05,69.9,43.47,96,100,6.08,overcast clouds
225,Lata,PT,40.1629,-8.3327,66.92,82,0,2.17,clear sky
226,Gweta,BW,-20.1833,25.2333,78.28,21,3,5.82,clear sky
227,Boueni,YT,-12.9025,45.0761,76.98,75,1,8.1,clear sky
228,Shihezi,CN,44.3,86.0333,52.5,33,0,2.55,clear sky
229,Klaksvik,FO,62.2266,-6.589,47.32,75,20,30.33,few clouds
230,Geraldton,AU,-28.7667,114.6,54.01,87,75,8.05,broken clouds
231,Erzin,TR,36.9559,36.2,70.2,81,46,2.35,scattered clouds
232,Saint-Pierre,RE,-21.3393,55.4781,69.48,68,0,5.75,clear sky
233,Canutama,BR,-6.5339,-64.3831,91.22,42,72,0.34,broken clouds
234,Porto Novo,BJ,6.4965,2.6036,80.42,86,35,7.09,scattered clouds
235,Tasiilaq,GL,65.6145,-37.6368,21.74,62,72,5.26,broken clouds
236,Zharkent,KZ,44.1628,80.0,53.89,50,0,4.5,clear sky
237,Vostok,RU,46.4856,135.8833,25.93,78,28,5.5,scattered clouds
238,Ordzhonikidze,KZ,52.4411,61.7408,49.59,24,100,8.1,overcast clouds
239,West Bay,KY,19.3667,-81.4167,87.87,67,20,9.22,few clouds
240,Cidreira,BR,-30.1811,-50.2056,64.4,76,54,16.75,broken clouds
241,Roma,US,43.2128,-75.4557,71.51,49,0,4.79,clear sky
242,Meulaboh,ID,4.1363,96.1285,74.19,93,100,2.91,overcast clouds
243,Gorontalo,ID,0.5412,123.0595,74.12,95,100,2.37,overcast clouds
244,Yulara,AU,-25.2406,130.9889,65.07,31,0,4.18,clear sky
245,Marawi,PH,7.9986,124.2928,68.47,91,100,0.47,overcast clouds
246,Hurghada,EG,27.2574,33.8129,84.24,54,0,9.22,clear sky
247,Chongqing,CN,29.5628,106.5528,65.23,89,100,11.18,overcast clouds
